"code","level","title","credits","subject","description"
"BIOC499","upperDivisionUndergraduate","Undergraduate Research","{'min': 1, 'max': 3}","Biochemistry","Offered on a CR/NC basis only. "
"BIOC564","graduateExclThesisDissertations","Biochemistry of Disease II",3,"Biochemistry","Four four-week topics, each designed to develop advanced understanding of biochemistry, cell and molecular biology in the context of human health and disease. 
"
"BIOC2110","lowerDivisionUndergraduate","Discovering the Biochemistry Major","1","Biochemistry","An engaging course designed to provide you with a foundation in biochemistry concepts, real-world applications, and the diverse opportunities that our Biochemistry major present, both in the present and throughout your future career.
"
"BIOL300C","upperDivisionUndergraduate","Evolution","4","Biology","Basic principles, and contemporary issues in evolution. "
"BIOL301C","upperDivisionUndergraduate","Molecular and Cellular Biology","4","Biology","This course covers  biologically important macromolecules, especially nucleic acids (coding sequences), protein structure and function;  intracellular structures, intracellular and receptor-mediated transport;  cell differentiation;  receptor-mediated cell signaling;  cell cycle and apoptosis;   thermodynamics and metabolism;  enzyme function;  cellular respiration; photosynthesis."
"BIOL302C","upperDivisionUndergraduate","Genes to Genomes: Lecture and Laboratory","4","Biology","This course will familiarise students with the core concepts of genetics and genomics, including inheritance patterns, the nature of genetic material, gene function, gene expression and regulation, genetics of model organisms, an overview of genomes,  genome engineering, and personalized medicine."
"BIOL304C","upperDivisionUndergraduate","Physiological Diversity and Function in Plants and Animals","4","Biology","Exploration of relationships between structure and function in plants and animals including plant growth; transport; nutrition; reproduction; development; control systems; and animal nutrition; circulation; reproduction; development; and immune, control and nervous systems."
"BIOL310C","upperDivisionUndergraduate","Principles of Ecology","4","Biology","This course provides an introduction to the organization, functioning, and development of ecological systems, along with energy flow, biogeochemical cycling, and population dynamics within them. The course takes both a historical and modern perspective. When appropriate, concepts will be directly applied to environmental challenges in the Southwestern US.  The associated lab section will provide hands-on experience with collecting, analyzing and reporting on ecological research."
"BIOL330","upperDivisionUndergraduate","Department of Biology Sophomore Seminar (Integrative Biology Emphasis)","1","Biology","The Department of Biology Sophomore Seminar Series (BIOL 330, 331, 332) introduces UNM biology majors to the research interests of the faculty. BIOL 330 highlights faculty presenters who study topics that integrate biology and related sciences."
"BIOL331","upperDivisionUndergraduate","Department of Biology Sophomore Seminar (Cellular Biology, Molecular Biology, and Physiology Emphasis)","1","Biology","The Department of Biology Sophomore Seminar Series (BIOL 330, 331, 332) introduces UNM biology majors to the research interests of the faculty. BIOL 331 highlights faculty presenters who study topics in cellular biology, molecular biology, and physiology."
"BIOL332","upperDivisionUndergraduate","Department of Biology Sophomore Seminar (Ecology, Evolution, and Organismal Biology Emphasis)","1","Biology","The Department of Biology Sophomore Seminar Series (BIOL 330, 331, 332) introduces UNM biology majors to the research interests of the faculty. BIOL 332 highlights faculty presenters who study topics in ecology, evolution, and organismal biology."
"BIOL351","starOrDoubleStarCoursesNumbered_300To_499","General Microbiology",3,"Biology","Cellular structure, genetics, physiology and ecology of microorganisms. Principles of bacterial techniques, host-parasite relationships and infection and immunity. 
Credit for both this course and BIOL 2305 may not be applied toward a degree program.

This is a double-starred (**) level course and may be taken for graduate credit by students enrolled in a graduate program outside of the department. A graduate student enrolled in a double-starred course numbered below 500 may be required to complete extra work.

"
"BIOL352L","starOrDoubleStarCoursesNumbered_300To_499","General Microbiology Laboratory",1,"Biology","Methods and techniques used in microbiology. 1 hour lab. 
Credit for both this course and BIOL 2305 may not be applied toward a degree program.

This is a double-starred (**) level course and may be taken for graduate credit by students enrolled in a graduate program outside of the department. A graduate student enrolled in a double-starred course numbered below 500 may be required to complete extra work."
"BIOL400","upperDivisionUndergraduate","Senior Honors Thesis","{'min': 1, 'max': 3}","Biology","Original theoretical and/or experimental work under supervision. Work for the thesis is carried on throughout the senior year. A maximum of 4 credit hours may be applied toward the Biology major; additional credit hours contribute to upper-level Arts and Sciences requirements."
"BIOL401","starOrDoubleStarCoursesNumbered_300To_499","Topics in Cell and Molecular Biology","[3]","Biology","Continually changing selection of topics that satisfy upper-division CMP breadth requirement. 

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"BIOL402","upperDivisionUndergraduate","Topics in Biology","{'min': '1', 'max': '3'}","Biology","A maximum of 4 credit hours may be applied toward the Biology major. A maximum of 2 credit hours may be applied toward the Biology minor. Additional credit hours contribute to upper-level Arts and Sciences requirements."
