"course_code","course_title","credits","description"
"MES 153","MES 153","3 CRS",""
"MES 160","MES 160","3 CRS",""
"MES 251","MES 251","3 CRS",""
"MMA 100","MMA 100","3 CRS",""
"MMA 215","MMA 215","3 CRS",""
"MMA 225","MMA 225","3 CRS",""
"MMA 235","MMA 235","3 CRS",""
"MMP 100","MMP 100","3 CRS",""
"MMP 200","MMP 200","3 CRS",""
"MMP 202","MMP 202","3 CRS",""
"MMP 210","MMP 210","3 CRS",""
"MMP 220","MMP 220","4 CRS",""
"MMP 230","MMP 230","4 CRS",""
"MMP 240","MMP 240","3 CRS",""
"MMP 250","MMP 250","3 CRS",""
"MMP 270","MMP 270","3 CRS",""
"MMP 271","MMP 271","3 CRS",""
"MMP 280","MMP 280","3 CRS",""
"MMP 301","MMP 301","3 CRS",""
"MMP 310","MMP 310","3 CRS",""
"MMP 320","MMP 320","4 CRS",""
"MMP 340","MMP 340","3 CRS",""
"MMP 350","MMP 350","3 CRS",""
"MMP 401","MMP 401","3 CRS",""
"MMP 420","MMP 420","4 CRS",""
"MMP 460","MMP 460","4 CRS",""
"VAT 100","VAT 100","3 CRS",""
"VAT 150","VAT 150","3 CRS",""
"VAT 151","VAT 151","3 CRS",""
"VAT 152","VAT 152","3 CRS",""
"VAT 153","VAT 153","3 CRS",""
"VAT 160","VAT 160","3 CRS",""
"VAT 161","VAT 161","3 CRS",""
"VAT 165","VAT 165","3 CRS",""
"VAT 170","VAT 170","3 CRS",""
"VAT 171","VAT 171","3 CRS",""
"VAT 260","VAT 260","3 CRS",""
"VAT 261","VAT 261","3 CRS",""
"VAT 265","VAT 265","3 CRS",""
"VAT 271","VAT 271","3 CRS",""
"VAT 302","VAT 302","3 CRS",""
"VAT 303","VAT 303","3 CRS",""
"VAT 310","VAT 310","3 CRS",""
"VAT 311","VAT 311","3 CRS",""
"VAT 312","VAT 312","3 CRS",""
"VAT 313","VAT 313","3 CRS",""
"VAT 401","VAT 401","3 CRS",""
"ASL 105","ASL 105","3 CRS",""
"ASL 106","ASL 106","3 CRS",""
"ASL 121","ASL 121","6 CRS",""
"ARB 105","ARB 105","3 CRS",""
"ARB 106","ARB 106","3 CRS",""
"ARB 107","ARB 107","3 CRS",""
"ARB 121","ARB 121","6 CRS",""
"ARB 200","ARB 200","3 CRS",""
"ARB 210","ARB 210","3 CRS",""
"ARB 221","ARB 221","6 CRS",""
"ARB 300","ARB 300","3 CRS",""
"CHI 101","CHI 101","4 CRS",""
"CHI 102","CHI 102","4 CRS",""
"CHI 105","CHI 105","3 CRS",""
"CHI 106","CHI 106","3 CRS",""
"CHI 107","CHI 107","3 CRS",""
"CHI 170E","CHI 170E","3 CRS",""
"CHI 200","CHI 200","3 CRS",""
"CHI 203","CHI 203","3 CRS",""
"CHI 210","CHI 210","3 CRS",""
"CHI 300","CHI 300","3 CRS",""
"CHI 411","CHI 411","3 CRS",""
"CHI 440","CHI 440","3 CRS",""
"CHI 476","CHI 476","3 CRS",""
"FRN 101","FRN 101","4 CRS",""
"FRN 102","FRN 102","4 CRS",""
"FRN 105","FRN 105","3 CRS",""
"FRN 106","FRN 106","3 CRS",""
"FRN 121","FRN 121","6 CRS",""
"FRN 150","FRN 150","3 CRS",""
"FRN 200","FRN 200","3 CRS",""
"FRN 204","FRN 204","3 CRS",""
"FRN 210","FRN 210","3 CRS",""
"FRN 221","FRN 221","6 CRS",""
"FRN 265","FRN 265","3 CRS",""
"FRN 280E","FRN 280E","3 CRS",""
"FRN 281E","FRN 281E","3 CRS",""
"FRN 300","FRN 300","3 CRS",""
"FRN 370","FRN 370","3 CRS",""
"FRN 400","FRN 400","3 CRS",""
"FRN 430","FRN 430","3 CRS",""
"FRN 435","FRN 435","3 CRS",""
"FRN 440","FRN 440","3 CRS",""
"FRN 446","FRN 446","3 CRS",""
"FRN 456","FRN 456","3 CRS",""
"FRN 460","FRN 460","3 CRS",""
"FRN 461","FRN 461","3 CRS",""
"FRN 462","FRN 462","3 CRS",""
"FRN 476","FRN 476","3 CRS",""
"GER 101","GER 101","4 CRS",""
"GER 102","GER 102","4 CRS",""
"ITL 101","ITL 101","4 CRS",""
"ITL 102","ITL 102","4 CRS",""
"ITL 105","ITL 105","3 CRS",""
"ITL 106","ITL 106","3 CRS",""
"ITL 121","ITL 121","6 CRS",""
"ITL 170E","ITL 170E","3 CRS",""
"ITL 180E","ITL 180E","3 CRS",""
"ITL 200","ITL 200","3 CRS",""
"ITL 204","ITL 204","3 CRS",""
"ITL 205E","ITL 205E","3 CRS",""
"ITL 210","ITL 210","3 CRS",""
"ITL 221","ITL 221","6 CRS",""
"ITL 260","ITL 260","3 CRS",""
"ITL 265","ITL 265","3 CRS",""
"ITL 300","ITL 300","3 CRS",""
"ITL 312E","ITL 312E","3 CRS",""
"ITL 330","ITL 330","3 CRS",""
"PRT 105","PRT 105","3 CRS",""
"PRT 106","PRT 106","3 CRS",""
"SPN 101","SPN 101","4 CRS",""
"SPN 102","SPN 102","4 CRS",""
"SPN 103","SPN 103","4 CRS",""
"SPN 105","SPN 105","3 CRS",""
"SPN 106","SPN 106","3 CRS",""
"SPN 107","SPN 107","3 CRS",""
"SPN 108","SPN 108","3 CRS",""
"SPN 121","SPN 121","6 CRS",""
"SPN 130","SPN 130","2 CRS",""
"SPN 150","SPN 150","3 CRS",""
"SPN 200","SPN 200","3 CRS",""
"SPN 204","SPN 204","3 CRS",""
"SPN 207","SPN 207","3 CRS",""
"SPN 210","SPN 210","3 CRS",""
"SPN 221","SPN 221","6 CRS",""
"SPN 300","SPN 300","3 CRS",""
"SPN 370","SPN 370","3 CRS",""
"SPN 371","SPN 371","3 CRS",""
"SPN 400","SPN 400","3 CRS",""
"SPN 410","SPN 410","3 CRS",""
"SPN 420","SPN 420","3 CRS",""
"SPN 425","SPN 425","3 CRS",""
"SPN 426","SPN 426","3 CRS",""
"SPN 430","SPN 430","3 CRS",""
"SPN 435","SPN 435","3 CRS",""
"SPN 439","SPN 439","3 CRS",""
"SPN 440","SPN 440","3 CRS",""
"SPN 445","SPN 445","3 CRS",""
"SPN 450","SPN 450","3 CRS",""
"SPN 455","SPN 455","3 CRS",""
"SPN 456","SPN 456","3 CRS",""
"SPN 460","SPN 460","3 CRS",""
"SPN 461","SPN 461","3 CRS",""
"SPN 472","SPN 472","3 CRS",""
"SPN 476","SPN 476","3 CRS",""
"SPN 480","SPN 480","3 CRS",""
"SPN 485","SPN 485","3 CRS",""
"SPN 490","SPN 490","3 CRS",""
"TRS 201","TRS 201","3 CRS",""
"TRS 202","TRS 202","3 CRS",""
"TRS 206","TRS 206","3 CRS",""
"TRS 233","TRS 233","3 CRS",""
"TRS 234","TRS 234","3 CRS",""
"TRS 235","TRS 235","3 CRS",""
"TRS 237","TRS 237","3 CRS",""
"TRS 238","TRS 238","3 CRS",""
"TRS 345","TRS 345","3 CRS",""
"WLI 300","WLI 300","3 CRS",""
"ART 101","ART 101","3 CRS",""
"ART 102","ART 102","3 CRS",""
"ART 104","ART 104","3 CRS",""
"ART 106","ART 106","3 CRS",""
"ART 107","ART 107","3 CRS",""
"ART 110","ART 110","2 CRS",""
"ART 113","ART 113","3 CRS",""
"ART 122","ART 122","3 CRS",""
"ART 125","ART 125","3 CRS",""
"ART 126","ART 126","3 CRS",""
"ART 133","ART 133","3 CRS",""
"ART 143","ART 143","3 CRS",""
"ART 161","ART 161","2 CRS",""
"ART 166","ART 166","3 CRS",""
"ART 174","ART 174","3 CRS",""
"ART 176","ART 176","3 CRS",""
"ART 183","ART 183","3 CRS",""
"ART 201","ART 201","3 CRS",""
"ART 215","ART 215","3 CRS",""
"ART 221","ART 221","3 CRS",""
"ART 225","ART 225","3 CRS",""
"ART 230","ART 230","2 CRS",""
"ART 233","ART 233","3 CRS",""
"ART 235","ART 235","3 CRS",""
"ART 237","ART 237","3 CRS",""
"ART 238","ART 238","3 CRS",""
"ART 243","ART 243","3 CRS",""
"ART 251","ART 251","3 CRS",""
"ART 266","ART 266","3 CRS",""
"ART 269","ART 269","3 CRS",""
"ART 270","ART 270","3 CRS",""
"ART 274","ART 274","3 CRS",""
"ART 276","ART 276","3 CRS",""
"ART 283","ART 283","3 CRS",""
"ART 285","ART 285","3 CRS",""
"ART 290","ART 290","3 CRS",""
"ART 292","ART 292","3 CRS",""
"ART 293","ART 293","3 CRS",""
"ART 294","ART 294","3 CRS",""
"ART 295","ART 295","3 CRS",""
"ART 300","ART 300","3 CRS",""
"ART 303","ART 303","3 CRS",""
"ART 315","ART 315","3 CRS",""
"ART 335","ART 335","3 CRS",""
"ART 366","ART 366","3 CRS",""
"ART 369","ART 369","3 CRS",""
"ART 374","ART 374","3 CRS",""
"ART 383","ART 383","3 CRS",""
"ART 420","ART 420","3 CRS",""
"ART 450","ART 450","3 CRS",""
"ART 801","ART 801","2 CRS",""
"ART 802","ART 802","2 CRS",""
"MUS 101","MUS 101","1 CRS",""
"MUS 102","MUS 102","3 CRS",""
"MUS 103","MUS 103","3 CRS",""
"MUS 104","MUS 104","3 CRS",""
"MUS 105","MUS 105","3 CRS",""
"MUS 107","MUS 107","3 CRS",""
"MUS 109","MUS 109","3 CRS",""
"MUS 110","MUS 110","2 CRS",""
"MUS 112","MUS 112","2 CRS",""
"MUS 113, MUS 213","MUS 113, MUS 213","1 CRS",""
"MUS 114","MUS 114","3 CRS",""
"MUS 116","MUS 116","3 CRS",""
"MUS 117","MUS 117","3 CRS",""
"MUS 118","MUS 118","2 CRS",""
"MUS 119","MUS 119","1 CRS",""
"MUS 120","MUS 120","1 CRS",""
"MUS 121","MUS 121","1 CRS",""
"MUS 122","MUS 122","3 CRS",""
"MUS 123","MUS 123","3 CRS",""
"MUS 124","MUS 124","2 CRS",""
"MUS 125","MUS 125","1 CRS",""
