courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
SFL 333,Adolescent Dev in Fam & Soc,"Examining the developmental and social contexts of adolescents with emphasis on the importance of the family. Other contexts include peers, religion, community, schools, and cross-cultural issues.","(3, 3)",,,
TEE 630,Adult Applied Technology Prgms,"Identifying, developing, and implementing relevant applied technology training programs.","(2, 2)",,,
SFL 334,Adult Development & Aging,"Adjustments to physical, emotional, social, and economic changes. Needs arising from changes in family relationships, living arrangements, and employment; retirement planning.","(3, 3)",,,
PSYCH 713,Adult Neuropsychology,"Overview of basic concepts and methods in the neuropsychological assessment of adult populations, including recognizing quantitative and qualitative aspects of test performance and behaviors most relevant to diagnosis.","(3, 3)",,,
DESPX 310,Adv. 3D Modeling,"Focus on improving Solidworks and Keyshot software proficiency by understanding software terms, practicing modeling techniques, combining solid modeling with surface modeling, evaluating design intent, and designing for assembly.","(3, 3)",,,
ESL 301,Adv Academic English,"Integrated skills course for nonnative English speakers, primarily focused on academic listening, speaking, and the basic skills needed for success at an American university.","(3, 3)",,,
CH EN695R,Advanced Academic Internship,Work experience evaluated by supervisor and posted on student's transcript.,"(2, 2)",,,
ACC 525,Adv Acc Analytics-Prof,"Apply an analytic mindset to problems. Learn advanced data analytic tools and techniques including extracting, transforming, and loading data; querying databases; visualizing data; and applying statistical concepts in accounting settings.","(3, 3)",,,
ACC 526,Adv Acc Analytics-Tax,"Apply an analytic mindset to problems. Learn advanced data analytic tools and techniques including extracting, transforming, and loading data; querying databases; visualizing data; and applying statistical concepts in accounting settings.","(3, 3)",,,
TMA 424,Advanced Acting,"Scene studies in extended realism. Absurdism, American classics, Shaw, Chekhov, etc.","(3, 3)",,,
COMMS 433,Adv Advertising Concept 3,"Capstone course in creating consumer advertising concepts, copywriting, design, and layout. Emphasizes finished portfolios.","(3, 3)",,,
C S 393,Adv Algorithms & Probl Solving,"This course will help students to become better at problem solving, increasing their ability to excel at technical/coding interviews (a challenging part of the hiring/interviewing process). Students will build on the algorithms and problem-solving strategies that they were taught and had limited practice with in CS 312. learning primarily through targeted practice. This will result in (1) strengthened skills in each style of problem-solving strategy and (2) the ability to quickly decide which strategy(ies) to apply to a given problem. Students are expected to spend 6+ hours outside of class each week solving interview-type problems.","(3, 3)",,,
ASL 301,Advanced ASL,"Fifth in a series of five courses, which aims to increase interpersonal, receptive, and presentational ASL skills at the advanced level in the context of society and culture of the Deaf community.","(3, 3)",,,
LAW 651,Adv Appellate Adv,"Written and oral advocacy in the appellate process, including strategy, persuasion techniques, circuit splits, policy argument, standards of review, adverse authority, and counterargument.","(3, 3)",,,
MUSIC 505B,Advanced Applied Literature,Intensification and deeper study of Music 505A materials.,"(2, 2)",,,
