"code","level","title","credits","college","description"
"JAPAN1120","Undergraduate Semester","Accelerated Beginning Japanese",4,"HU - College of Humanities","Combines courses 1010 and 1020 of the language into one semester. Continued intensive focus on development of listening and reading strategies with an emphasis on oral and written forms of communication."
"KOREA1120","Undergraduate Semester","Accelerated Beginning Korean",4,"HU - College of Humanities","Combines courses 1010 and 1020 of the language into one semester. Continued intensive focus on development of listening and reading strategies with an emphasis on oral and written forms of communication."
"HEBR1120","Undergraduate Semester","Accelerated Beginning Modern Hebrew",4,"HU - College of Humanities","Combines courses 1010 and 1020 of the language into one semester. Continued intensive focus on development of listening and reading strategies with an emphasis on oral and written forms of communication."
"PERS1120","Undergraduate Semester","Accelerated Beginning Persian",4,"HU - College of Humanities","Combines courses 1010 and 1020 of the language into one semester. Continued intensive focus on development of listening and reading strategies with an emphasis on oral and written forms of communication."
"PTGSE1120","Undergraduate Semester","Accelerated Beginning Portuguese",4,"HU - College of Humanities","Combines courses 1010 and 1020 of the language into one semester. Continued intensive focus on development of listening and reading strategies with an emphasis on oral and written forms of communication."
"RUSS1120","Undergraduate Semester","Accelerated Beginning Russian",4,"HU - College of Humanities","Combines courses 1010 and 1020 of the language into one semester. Continued intensive focus on development of listening and reading strategies with an emphasis on oral and written forms of communication."
"TURK1120","Undergraduate Semester","Accelerated Beginning Turkish",4,"HU - College of Humanities","Intense focus on development of listening and reading strategies with an emphasis on oral and written forms of communication."
"MATH1311","Undergraduate Semester","Accelerated Engineering Calculus I",4,"SC - College of Science","Math 1311 and 1321 together are equivalent to the three semester sequence Math 1210, Math 1220, and Math 2210. This sequence is intended for engineering majors. Review of introductory calculus, applications of differential and integral calculus, introduction to differential equations, conic sections and polar coordinates, numerical approximation, sequences and series, power series."
"MATH1321","Undergraduate Semester","Accelerated Engineering Calculus II",4,"SC - College of Science","Completion of Math 1321 is equivalent to completing the entire three semester Calculus I, II, III sequence. Vectors in the plane and in 3-space, differential calculus in several variables, integration and its applications in several variables, vector fields, and line, surface and volume integrals, Green's and Stokes Theorems."
"ASL2120","Undergraduate Semester","Accelerated Intermediate American Sign Language",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
