"course_code","course_title","department","credits","description","level"
"ACC 567","INTERNATIONAL ASPECTS OF U.S. TAXATION","Accountancy (ACC)","4 quarter hours","Provides conceptual and practical framework of the US federal taxation of international activities for both US and non US businesses.  For foreign persons, includes treatment of passive, active and land-owning activities including withholding taxes and disclosures.  For US persons, includes treatment of sourcing and expense allocation, foreign income, the anti-deferral rules, and the foreign tax credit mechanism.  Includes the impact of intergovernmental double tax treaties including dispute resolution mechanisms, filings and the state tax treatment of foreign income. ACC 551andACC 558are prerequisites for this class. ","(Graduate)"
"ACC 568","TAXATION OF S CORPORATIONS","Accountancy (ACC)","4 quarter hours","This course deals with federal income tax planning in connection with the accumulated earnings tax, personal holding companies, S corporations, multiple corporations, transactions between related parties and small business corporation stock. NOTE: This is a M.S.T. course. ACC 558is a prerequisite for this class. ","(Graduate)"
"ACC 570","STATE AND LOCAL INCOME AND FRANCHISE TAXATION","Accountancy (ACC)","4 quarter hours","This course identifies and examines the types of income and capital stock taxes imposed on corporations and pass-through entities by state governments. Topics include nexus and the impact of P.L. 86-272, conformity to the Internal Revenue Code, modifications to federal taxable income, business and nonbusiness income, methods of reporting, and allocation and apportionment and current developments. NOTE: This is a M.S.T. course. ACC 551is a prerequisite for this class. ","(Graduate)"
"ACC 571","ESTATE AND GIFT TAXATION","Accountancy (ACC)","4 quarter hours","This course consists of a detailed review of the federal estate tax, gift tax and generation-skipping tax laws.  In the area of estate taxation, assets included in the gross estate, deductions allowed, and credits permitted are analyzed under the relevant statutes, regulations and cases.  The taxation of gifts, the application of gift tax deductions, and the application of gift tax exclusions are covered.  The taxation of generation-skipping transfers and the GST exemption allocations rules are analyzed. Valuation issues are discussed at length.  Illinois estate tax issues are reviewed in detail.  Basis consistency rules are discussed. The basic rules under EGTERRA are briefly mentioned. NOTE: This is a M.S.T. course. ACC 551is a prerequisite for this class. ","(Graduate)"
"ACC 574","ESTATE PLANNING","Accountancy (ACC)","4 quarter hours","This course will deal primarily with how to avoid and minimize federal estate taxes and estate administration expenses upon the subsequent demise of the client. Therefore, the student must have taken the estate and gift taxation, the use of outright gifts, the use of trusts.  Generation skipping transfers and charitable gifts will also be considered.  NOTE: This is a M.S.T. course. ACC 551is a prerequisite for this class. ","(Graduate)"
"ACC 578","DATA ANALYTICS IN TAX","Accountancy (ACC)","4 quarter hours","This course will provide students with exposure to the various data analytic concepts and tools applicable to tax.   It will also provide opportunities to apply these concepts and tools to sample data sets from the business world.  In addition to understanding when and how to use these tools, the student will also learn how to exercise appropriate judgement with respect to tax decisions that stem from the data analysis.  Students in the course will also see how process design and automation are impacted by the types of data available to the tax professional. ACC 551is a prerequisite for this class. ","(Graduate)"
"ACC 579","TAX TECHNOLOGY AND RESEARCH: AI AND MORE","Accountancy (ACC)","4 quarter hours","This course will provide students with exposure to the various applications of artificial intelligence (AI) and technology tools applicable to tax. It will also provide opportunities to apply these tools to specific fact patterns and problems requiring research and related follow up. ","(Graduate)"
"ACC 580","ACCOUNTING FOR INCOME TAXES","Accountancy (ACC)","4 quarter hours","Covers the financial accounting and reporting standards for the effects of income taxes that result from corporate activities. Topics include computation of current and deferred tax expense or benefit, temporary differences, carry-forwards, computation of deferred tax assets and liabilities, valuation allowances, business combinations, investments in subsidiaries and equity method investments, presentation and disclosure, and implementation of accounting for uncertainty in income taxes under FIN 48. ACC 551is a prerequisite for this class. ","(Graduate)"
"ACC 590","WRITING FOR TAX PROFESSIONALS","Accountancy (ACC)","2 quarter hours","Writing for Tax Professionals focuses on developing skills to transform the results of tax research into a tax research memorandum and a client letter. This course provides a series of exercises that build skills in analyzing primary sources, applying rules and court holdings to fact patterns, and communicating this tax analysis into written documents. Throughout the course, you will write and receive feedback on your writing. The final assignment will incorporate the earlier writing exercises into a tax research memorandum and an accompanying client letter. ACC 558is a prerequisite for this class. ","(Graduate)"
"ACC 592","FEDERAL INCOME TAX OF INDIVIDUALS","Accountancy (ACC)","4 quarter hours","This course provides a comprehensive in depth study of the Federal income tax system as it applies to individual taxpayers. This course will focus on the components of gross income, adjustments to arrive at adjusted gross income, deductions and exemptions, tax rates and filing status, and tax credits that apply to individual taxpayers. This course will review the specific provisions of interest to employees, entrepreneurs, investors, and retirees. ACC 548is a prerequisite for this class. ","(Graduate)"
