"course_code","course_title","department","credits","description","level"
"ACC 598","SEMINAR ON CURRENT PROBLEMS IN TAXATION","Accountancy (ACC)","4 quarter hours","Covers recent significant developments in the future of legislation, regulations, administrative rulings and case law on federal income, estate and gift taxation. Emphasis is placed on specific tax planning in light of these current developments. Topics are discussed against background of leading Supreme Court cases. Recommended as final tax course in M.S.T. program. ACC 560,ACC 565andACC 566and completion of 32 units of credit are prerequisites for this class. ","(Graduate)"
"ACC 615","APPLIED STATISTICS FOR ACCOUNTANTS","Accountancy (ACC)","4 quarter hours","This course is a statistical overview of concepts taught in elementary and intermediate statistics classes but with more emphasis on understanding and interpretation of outcomes and findings. Report writing, article critiquing as well as team projects will be utilized. This course will cover general selected general statistics including basic sample descriptives, categorical data analysis including odds and risk ratios, estimation and hypothesis testing and basic regression and ANOVA technique. Logistic regression will also be covered. The course will emphasize data analytics and data projects. ","(Graduate)"
"ACC 635","INTRODUCTION TO FRAUD EXAMINATION","Accountancy (ACC)","4 quarter hours","This course will focus on fraud principles that relate to asset misappropriations, corruption and fraudulent financial statements. Emphasis will be on examination, review, and analysis of a variety of fraud schemes, including discussion of investigative strategies and controls used to detect and prevent the impact fraud has on an organization. ","(Graduate)"
"ACC 636","INTERNAL AUDITING, CORPORATE GOVERNANCE AND INTERNAL CONTROL","Accountancy (ACC)","4 quarter hours","This course addresses the overall role that internal audit plays as a critical part of an organization's control and governance structure. The course includes a case that incorporates the complete internal audit process for a hypothetical company, including identification of risk, planning, execution of fieldwork and reporting. This course also covers the strategic role and operations of an internal audit function from three key perspectives; the Chief Audit Executive, the chair of the audit committee,  and the CEO or CFO. The relative roles and relationships with the organization's external auditor and the organization's  risk and control functions are also addressed. (ACC 500orACC 502or its equivalent) or (status as an MS Audit and Advisory Services student) is a prerequisite for this course. ","(Graduate)"
"ACC 637","DATA MINING AND ANALYTICS","Accountancy (ACC)","4 quarter hours","This course introduces students to the field of data mining and data analytics, which has been defined as the extensive use of data, statistical and quantitative analysis, and exploratory and predictive models to drive decisions and actions. With an emphasis on hands-on problem solving capabilities, this course further develops students' analytics mindset and data-driven decision skills. ACC 615is a prerequisite for this course. ","(Graduate)"
"ACC 638","ADVANCED IT AUDITING","Accountancy (ACC)","4 quarter hours","This course prepares students to understand and assess the sources IT risks and conduct IT audits by examining the key principles behind the auditing of IT processes.  The course has a focus on gaining hands-on experience in analyzing and assessing IT risks and controls. The effective management of Information Technology (IT) assets in order to meet business objectives and of IT-related business risks is of critical importance to organizations today. The application of the COBIT framework and other professional IT audit standards is emphasized. (ACC 500orACC 502or its equivalent) or (status as an MS Audit and Advisory Services student) is a prerequisite for this course. ","(Graduate)"
"ACC 639","AUDIT ANALYTICS","Accountancy (ACC)","4 quarter hours","The course will familiarize students with basic audit analytics knowledge, skills and tools, and expose students to real world audit analytics related issues and potential solutions. With an emphasis on hands-on problem solving capabilities, this course attempts to develop students' analytics mindset in the context of auditing. ACC 547or status as a student in the MS Audit and Advisory Services plan is the prerequisite for this class. ","(Graduate)"
"ACC 640","ADVANCED TOPICS IN ACCOUNTING THEORY II","Accountancy (ACC)","4 quarter hours","The course emphasizes financial accounting research using the FASB Accounting Standards Codification to determine the appropriate financial accounting for advanced level transactions and events. Additionally, the course addresses the standard setting process in financial accounting as well as the role that the Securities and Exchange Commission fills in this process. Governmental and nonprofit accounting topics are also covered along with fair value measurement and current developments in financial reporting. This course is intended to be taken toward the completion of the MSA program. ACC 543is a prerequisite for this class. ","(Graduate)"
"ACC 645","FORENSIC AND INVESTIGATIVE ACCOUNTING","Accountancy (ACC)","4 quarter hours","This course focuses the human element of accounting-based fraud.  The course covers interpersonal skills such as the psychology of those who commit crimes, reading people and places, handwriting analysis, and discourse analysis.  It also includes technical skills such as net worth analysis, expert witnessing, and the writing of expert reports.  The course is delivered using hands-on experience in a case-based setting. (ACC 500orACC 502or its equivalent) or (status as an MS Audit and Advisory Services student) is a prerequisite for this course. ","(Graduate)"
"ACC 646","FORENSIC FINANCIAL STATEMENT ANALYSIS AND VALUATION","Accountancy (ACC)","4 quarter hours","This course focuses on financial statement fraud.  Skills taught in this course include using financial statement analysis to detect fraud in financial statements, and valuation skills that can be used to value both public and private firms in cases of shareholder and partnership disputes, divorce cases etc.  Students are given a chance to use these skills to detect and investigate fraud within a company's financial statements. (ACC 500orACC 502or its equivalent) or (status as an MS Audit and Advisory Services student) is a prerequisite for this course. ","(Graduate)"
"ACC 690","GRADUATE INTERNSHIP","Accountancy (ACC)","4 quarter hours","Technical knowledge acquired in the classroom is applied in an actual business environment through varied assignments under supervision in industry, government or public accounting.  Offered variably. ","(Graduate)"
"ACC 798","SPECIAL TOPICS","Accountancy (ACC)","4 quarter hours","Content and format of this course are variable.  An in-depth study of current issues in accountancy.  Subject matter will be indicated in class schedule.  Offered variably. ","(Graduate)"
"ACC 799","INDEPENDENT STUDY","Accountancy (ACC)","4 quarter hours","Available for graduate students of demonstrated capability for intensive independent work in accountancy. ","(Graduate)"
"A&S 491","EFFECTIVE LEADERSHIP OF SCHOOLS","Administration & Supervision (A&S)","4 quarter hours","This course introduces students to the research base of organizational theory, the politics of education, and foundations of building level instructional leadership. Multiple theories are examined in light of the students' experience in educational settings. This examination of theory in light of experience provides the students with a framework for analyzing both familiar educational institutions and the theories that support educational institutions. Through a study of administrative and organizational theory using those settings with which students are most familiar, students will become more reflective of the theoretical base that will inform their future practice as administrators. Status as an Advanced Masters Education student or a Principal or Catholic School Principal (Licensure) student is a prerequisite for this class. ","(Graduate)"
"A&S 492","THE PRINCIPALSHIP","Administration & Supervision (A&S)","4 quarter hours","This course provides students with the tools needed to enter into a Pre-K-12 school setting and function effectively.  Topics included in this course include: scheduling; managing resources; technology; issues of working with students and teachers; maintaining a safe and effective learning environment. Status as an Advanced Masters Education student or a Principal or Catholic School Principal (Licensure) student is a prerequisite for this class. ","(Graduate)"
"A&S 493","DATA DRIVEN DECISION MAKING","Administration & Supervision (A&S)","4 quarter hours","This course provides future administrators with the tools they need to critically examine demographic, financial, personnel and testing data and to use the insights gained in making well informed administrative decisions. Status as an Advanced Masters Education student or a Principal or Catholic School Principal (Licensure) student is a prerequisite for this class. ","(Graduate)"
"A&S 494","SCHOOL FINANCE","Administration & Supervision (A&S)","4 quarter hours","Major consideration will be given to problems relating to the preparing of a school budget, procuring revenue, financial accounting, capital outlays, insurance on property, taking of inventory, and the social and political implications of how schools are financed. Status as an Advanced Masters Education student or a Principal or Catholic School Principal (Licensure) student is a prerequisite for this class. ","(Graduate)"
"A&S 495","SCHOOL LAW","Administration & Supervision (A&S)","4 quarter hours","Authority, powers and liability of school personnel; rights and status of students; character of districts and school board control of curriculum, school property, finances. Special emphasis on recent state and federal court decisions as they affect Illinois and neighboring states. Status as an Advanced Masters Education student or a Principal or Catholic School Principal (Licensure) student is a prerequisite for this class. ","(Graduate)"
"A&S 496","STAKEHOLDER RELATIONSHIPS","Administration & Supervision (A&S)","4 quarter hours","This course draws on the literature about constructive conflict resolution and partnership building to address the important, inevitable, and sometimes stormy relationships among various education stakeholders both inside and outside of the school building. Educational administrators cannot fire tenured teachers, angry parents, or zealous community organizers. Thus, they must learn the paradigms and tools to not only resolve the inevitable conflicts that arise with these stakeholders but also to be able to work with them as key strategic partners. Status as an Advanced Masters Education student or a Principal or Catholic School Principal (Licensure) student is a prerequisite for this class. ","(Graduate)"
