course_code,course_title,course_description,course_credits
Sales and Advertising,CB460,"This course examines the psychological principles of sales and advertising. Strategies to improve and manage sales within organizations are explored. Brand promotion, image maintenance, and customer awareness are addressed to understand consumer behaviors. The course evaluates advertising options and consumer behavior concepts to drive improved sales. Measuring and acquiring of customer satisfaction are reviewed.",4
The Psychology of Consumer Economic Behavior,CB465,"This course explores the economic theories as it relates to consumer psychology . Students have the opportunity to interpret economic research and how the world economy revolves around motivating factors of purchasing decisions. The lifecycle of consumer economics and consumption theories are examined.  Implications of public policies, social, and legal aspects are reviewed to examine the fluctuation of economics.",4
Consumer Behavior: The Individual,CB470,"This course explores the external and internal influences of consumer behavior and asks students to consider aspects related to individual consumer behavior and the psychology of those behaviors. Topics reviewed in the course include: the basic motivations underlying consumer purchasing behavior; consumer perception, judgment, and persuasion to respond to products and services; problem-solving, information, and decision-making; and, how individuals vary in their learning, attitudes, beliefs, feelings, and intentions to use these products and services. This course focuses on understanding the cognitive and emotional factors that influence consumers and the use of this knowledge to increase customers, customer retention, purchases, and our understanding of consumer behavior.",4
Consumer Behavior: Groups and Society,CB475,"This course investigates the social and anthropological views of consumer behavior and helps students make sense of consumer psychology from a group and societal perspective. The effects of social class, family structure, cultural backgrounds, and group identification are examined.  Topics reviewed in the course include the technological, economic, and political factors that influence consumer behavior. Consumer influences on sustainability, social justice, and globalization are also considered as well as consumer politics and legislation. This course focuses on understanding the social factors that influence consumers and the use of this knowledge to increase customers, customer retention, purchases, and our understanding of consumer behavior.",4
Programming Basics,CD100,"This course is designed to help students learn basic computer literacy skills, such as how to install and navigate basic programming tools. The course covers algorithmic thinking to make predictions of common programming components such as variables, arrays, conditionals, functions, and loops.",0
Web Fundamentals,CD105,"This course introduces students to Hypertext Markup Language (HTML), Cascading Style Sheets (CSS), and JavaScript. Students will write the code for basic static web pages with JavaScript interactivity.",6
Introduction to Python Full-stack Programming,CD110,"This course provides students with a comprehensive understanding of Python programming and its applications in back-end development. Students will write Python code based on fundamental and object-oriented programming concepts, develop back-end Flask applications without a database, translate data requirements into Entity Relationship Diagrams (ERDs), and write Flask and MySQL database query code for full-stack applications.",6
Fundamentals of MERN Stack Programming,CD200,"This course introduces students to the fundamentals of MongoDB, Express, React, and Node (MERN) programming. This course provides students with the opportunity to become familiar with JavaScript, as well as to build web applications using common industry technologies.",6
Programming in Java,CD210,"This course is designed to provide students with a base knowledge in procedural programming in Java, object-oriented programming, and Model–View–Controller (MVC) patterns using popular Java frameworks. Students will also write Java code for database (e.g. MySQL) manipulation.",6
Programming in C#/.NET Core,CD220,"This course is designed to provide students with a base knowledge in a Model–View–Controller (MVC) framework, known as .NET Core. Other topics explored include object-oriented programming and fundamentals with C#. Students also will write C# code for database (e.g. MySQL) manipulation.",6
Introduction to Data Structures and Algorithms for Programming,CD230,"This course provides students with a solid foundation in data structures and algorithms, essential for effective software development. Students will write basic data structures code, understand the impact of data structures on algorithm complexity, and implement divide-and-conquer algorithms such as searching, sorting, and recursion. Students will also use appropriate data structures for advanced algorithms.",6
Computer Architecture,CE242,"This course studies computer organization and design. Topics include digital logic and digital systems, machine level representation of data, memory system organization and architecture, computer interfacing and multiprocessing.",4
Computer Architecture,CE250,"This course discusses the fundamentals of computer organization and architecture including concepts and principles of cloud computing and quantum computing. The covered topics include evolution of computer organization and architecture, basic assembly-level machine organization, memory system organization and architecture, computer interfacing and communication, as well as multiprocessors and parallel processing. The course also introduces the concepts of performance and the architectural support for performance enhancements.",4
Advanced Computer Architecture,CE412,"This course covers advanced hardware design techniques and control strategies employed in modern computer systems.  Topics include advanced memory design, instructions sets, benchmarking, pipelining, advanced network architectures, and high performance computing.",4
Advanced Research and Study in Computer Engineering,CE495,"This course provides the opportunity for an independent, in-depth research project and/or study in an area of student interest. Credits are assigned based on the complexity and depth of the project, which must be approved the department chair.",1-6
Special Topics in Computer Engineering,CE499,This course addresses issues of current interest in computer systems. Course content varies as determined by student interest and the evolution of the discipline.,1-6
"Sequential Logic, Embedded Systems, and Circuit Analysis",CE502,This course covers essential topics in analog and digital electronics engineering. Students will work to demonstrate proficiency in the design and analysis of analog and digital circuits and systems.,0
Modern Computer Architecture,CE605,"This course examines the nature of computing and its impact on the design of computer systems. Topics include basic function building blocks of computer design, benchmarks and performance metrics, instruction set architectures, hardware/software structures, memory choices, and emerging technologies.",4
Modern Computer Design,CE660,"This course explores the issues, methods, tools and processes in the design of modern computer systems.  Students will research and integrate information, identify and apply models, consider experimental design through simulation and evaluate design alternatives in a ""just-in-time"" approach to design.",4
Computer Engineering Capstone,CE690,"The Computer Engineering Capstone course provides the student the opportunity to integrate skills developed throughout the MSCE program by completing a project or study that focuses on a technical problem or current issue in engineering. The students will define the problem or opportunity, identify constraints, complete an analysis, and prepare and deliver a professional report and presentation.",4
Introduction to Chemistry,CHE105,"This course provides an introduction to the fundamental concepts of inorganic chemistry, including atomic and molecular structure, bonding types, reactions, equation and stoichiometry (a mathematical approach to solving problems involving chemical phenomena).",5
Introduction to Criminalistics,CJFI360,"This course examines the theories and concepts of criminalistics through the application of scientific methods that are necessary to effectively examine, analyze, and reconstruct a major crime scene.  Specifically, the course will address legal issues that are related to search and seizure of physical evidence; crime scene documentation techniques including (a) information gathering to enable report writing, (b) photographic composition concepts, and (c) crime scene measurement and diagramming; latent print processing and enhancement; and basic crime scene reconstruction methods.  Included will be lab exercises that complement text and lecture.",4
Advanced Crime Scene Forensics,CJFI410,"Throughout this course, the student will examine the skills and procedures employed by crime scene technicians utilized in processing crime scenes.  The class will emphasize special chemical enhancement, alternate light source discoveries, and cast/molding recovery procedures for fingerprints, bloodstain/blood spatter artifacts, tool, tire, and shoe impressions.  Lab exercises will be included that complement text and lecture.",4
Forensic Photography & Crime Scene Documentation,CJFI420,"The course is designed to provide the student with the basic concepts of crime scene photography and documentation techniques for homicide scenes, autopsies, and suicides, other dead-body scenes, assaults, burglaries, injuries, sex offenses, arson, and accidents.  Lectures will address the use of Polaroid cameras, videotaping, copy stand photography, blood stain documentation, tool mark analysis and court presentations. The digital camera format is also part of the curriculum. Basic techniques of photography and camera operation, application of film/digital application, lighting techniques including low light and electronic flash will be part of the discussion and the laboratory component of the course.  Laboratory exercises will be conducted to reinforce class lectures and demonstrations.",4
Medico-Legal Death Investigations,CJFI430,"This course will provide a foundation for understanding death scene analysis.  The manner, mechanism, and cause of death are explored, as well as postmortem changes.  The course emphasis will be on investigation of sudden or unexpected deaths, homicides, suicides, accidental deaths, and trauma; this will include SIDS and child abuse cases.",4
"Bones, Bugs & Teeth â The Recovery of Human Remains",CJFI440,"This course provides students with a series of lectures and field exercises when permissible, using various methods of recovery of human remains.  The emphasis will be on scattered surface remains and the detection of clandestine graves.  The techniques presented will include scene documentation, basic forensic anthropology, odontology, and entomology as they apply to recovery techniques that are utilize as an aid in identification and criminal prosecution.",4
Introduction to Ridgeology,CJFI451,"This class is intended to be an introduction to the biological development of friction ridge skin, fingerprint pattern interpretation, and fingerprint comparisons.  Lecture and laboratory practicums will include the history of fingerprint identification, obtaining fingerprints with ink, the ACE-V methodology and an overview of AFIS.",4
Courtroom Presentation of Scientific Evidence,CJFI455,"This course provides a comprehensive view of the components of criminal trials and will focus on the knowledge, skills, attitudes, and specialized expertise that contribute to credibility as a witness.  Specific topical areas of discussion will include types of questions asked of witnesses, strategies and tactics of the prosecution and defense, and, effective methods for improving skills on the witness stand.  Additionally, students will learn how to effectively prepare for courtroom testimony by recognizing the critical value and importance of all reports.  As part of the course, students will have the opportunity to participate in a moot court exercise.",4
