"course_code","course_title","department","credits","description"
"ARTS 198","Special Topics","Art (ARTS)","1-3 Units",""
"ARTS 227","Introduction to Painting","Art (ARTS)","3 Units",""
"ARTS 230","Introduction to Printmaking","Art (ARTS)","3 Units",""
"ARTS 240","Introduction to Photography","Art (ARTS)","3 Units",""
"ARTS 241","Introduction to Traditional (Film-Based) Photography","Art (ARTS)","3 Units",""
"ARTS 250","Introduction to Digital Media","Art (ARTS)","3 Units",""
"ARTS 260","Introduction to Ceramics","Art (ARTS)","3 Units",""
"ARTS 270","Introduction to Sculpture","Art (ARTS)","3 Units",""
"ARTS 276","Introduction to Glass Art","Art (ARTS)","3 Units",""
"ARTS 325","Intermediate Ideation Drawing","Art (ARTS)","3 Units",""
"ARTS 326","Intermediate Life Drawing","Art (ARTS)","3 Units",""
"ARTS 327","Intermediate Painting","Art (ARTS)","3 Units",""
"ARTS 328","Intermediate Portfolio Painting","Art (ARTS)","3 Units",""
"ARTS 331","Intermediate Printmaking: Intaglio","Art (ARTS)","3 Units",""
"ARTS 332","Intermediate Printmaking: Silkscreen","Art (ARTS)","3 Units",""
"ARTS 333","Intermediate Printmaking: Lithography","Art (ARTS)","3 Units",""
"ARTS 334","Intermediate Printmaking: Relief","Art (ARTS)","3 Units",""
"ARTS 340","Topics in Photography","Art (ARTS)","3 Units",""
"ARTS 343","Alternative Photography","Art (ARTS)","3 Units",""
"ARTS 350","2D Animation","Art (ARTS)","3 Units",""
"ARTS 351","Stop-Motion Animation","Art (ARTS)","3 Units",""
"ARTS 352","Digital Illustration","Art (ARTS)","3 Units",""
"ARTS 361","Intermediate Ceramics","Art (ARTS)","3 Units",""
"ARTS 362","Intermediate Ceramics: Surface","Art (ARTS)","3 Units",""
"ARTS 363","Intermediate Ceramics: Mold Making","Art (ARTS)","3 Units",""
"ARTS 371","Intermediate Sculpture: Materials & Methods","Art (ARTS)","3 Units",""
"ARTS 372","Intermediate Sculpture: Fire Arts and Foundry","Art (ARTS)","3 Units",""
"ARTS 373","Intermediate Sculpture: The Body and Performance","Art (ARTS)","3 Units",""
"ARTS 376","Intermediate Glass Art","Art (ARTS)","3 Units",""
"ARTS 389","Internship in Art","Art (ARTS)","1-3 Units",""
"ARTS 395","Professional Practices for the Studio Artist","Art (ARTS)","3 Units",""
"ARTS 398","Special Topics","Art (ARTS)","1-6 Units",""
"ARTS 399","Special Problems","Art (ARTS)","1-3 Units",""
"ARTS 425","Advanced Ideation Drawing","Art (ARTS)","3 Units",""
"ARTS 426","Advanced Life Drawing","Art (ARTS)","3 Units",""
"ARTS 427","Advanced Painting","Art (ARTS)","3 Units",""
"ARTS 428","Advanced Life Painting","Art (ARTS)","3 Units",""
"ARTS 430","Advanced Printmaking","Art (ARTS)","3 Units",""
