"course_code","course_title","department","credits","description"
"ATTR 623","REHABILITATIVE CARE: THERAPEUTIC EXERCISE","Athletic Training (ATTR)","3",""
"ATTR 625","EVIDENCE BASED ASSESSMENT OF THE LOWER EXTREMITY","Athletic Training (ATTR)","3",""
"ATTR 626","EVIDENCE BASED ASSESSMENT OF THE UPPER EXTREMITY","Athletic Training (ATTR)","3",""
"ATTR 627","EVIDENCE BASED ASSESSMENT OF THE HEAD AND SPINE","Athletic Training (ATTR)","3",""
"ATTR 650","HUMAN PERFORMANCE OPTIMIZATION","Athletic Training (ATTR)","3",""
"ATTR 668","ADVANCED DIAGNOSTIC IMAGING AND PHARMACOLOGY","Athletic Training (ATTR)","3",""
"ATTR 681","EPIDEMIOLOGY AND RESEARCH METHODS IN ATHLETIC TRAINING","Athletic Training (ATTR)","3",""
"ATTR 701","MAXIMIZING REHABILITATION INTERVENTIONS","Athletic Training (ATTR)","3",""
"ATTR 702","PATHOPHYSIOLOGY OF MEDICAL CONDITIONS","Athletic Training (ATTR)","3",""
"ATTR 703","PRACTICUM IV: COMPREHENSIVE PATIENT CENTERED CARE","Athletic Training (ATTR)","9",""
"ACSD 600","SPECIAL TOPICS IN AUDIOLOGY","Audiology (ACSD)","1-3",""
"ACSD 601","PROFESSIONALISM AND ETHICS","Audiology (ACSD)","1",""
"ACSD 603","ANATOMY AND PHYSIOLOGY OF THE PERIPHERAL AUDITORY AND VESTIBULAR SYSTEMS","Audiology (ACSD)","3",""
"ACSD 604","NEUROANATOMY AND PHYSIOLOGY OF THE CENTRAL AUDITORY AND VESTIBULAR SYSTEMS","Audiology (ACSD)","2",""
"ACSD 605","COUNSELING IN AUDIOLOGY I","Audiology (ACSD)","1",""
"ACSD 606","PHARMACOLOGY IN AUDIOLOGY","Audiology (ACSD)","1",""
"ACSD 607","GENETICS IN AUDIOLOGY","Audiology (ACSD)","1",""
"ACSD 611","ACOUSTICS AND PSYCHOACOUSTICS","Audiology (ACSD)","2",""
"ACSD 621","AUDITORY DIAGNOSTICS I","Audiology (ACSD)","3",""
"ACSD 622","AUDITORY DIAGNOSTICS I LABORATORY","Audiology (ACSD)","1",""
"ACSD 636","APPLIED STATISTICS","Audiology (ACSD)","2",""
"ACSD 645","COMMUNICATION AND AGING","Audiology (ACSD)","3",""
"ACSD 655","HEARING AIDS I: SELECTION, VERIFICATION AND VALIDATION OF AMPLIFICATION","Audiology (ACSD)","2",""
"ACSD 690","AUDIOLOGY CLINIC ON CAMPUS I","Audiology (ACSD)","3",""
"ACSD 705","COUNSELING IN AUDIOLOGY II","Audiology (ACSD)","1",""
"ACSD 706","AUDIOLOGY PRACTICE MANAGEMENT","Audiology (ACSD)","2",""
"ACSD 714","RESEARCH METHODS IN AUDIOLOGY","Audiology (ACSD)","2",""
