Course Code,Course Name,Credits,Level
NURS 70200,Advanced Nursing Research,3,Graduate
NUTR 74700,Advanced Nutrition and Assessment Laboratory,1,Graduate
NUTR 73100,Advanced Nutrition I,3,Graduate
NUTR 73200,Advanced Nutrition II,3,Graduate
SPED 76600,Advanced Orientation and Mobility,3,Graduate
SPED 76900,Advanced Orientation and Mobility Lab and Seminar,3,Graduate
ANTH 79104,Advanced Osteology,3,Graduate
ARTCR 61259,Advanced Painting II,3,Graduate
ARTCR 61163,Advanced Painting 1,3,Graduate
ARTCR 61100,Advanced Painting 1,3,Graduate
ARTCR 61159,Advanced Painting 1,3,Graduate
ARTCR 61175,Advanced Painting 1,3,Graduate
ARTCR 61151,Advanced Painting 1,3,Graduate
ARTCR 61255,Advanced Painting 2,3,Graduate
ARTCR 61254,Advanced Painting 2,3,Graduate
ARTCR 61251,Advanced Painting 2,3,Graduate
ARTCR 61200,Advanced Painting 2,3,Graduate
ARTCR 61263,Advanced Painting 2,3,Graduate
ARTCR 61363,Advanced Painting 3,3,Graduate
ARTCR 61354,Advanced Painting 3,3,Graduate
ARTCR 61373,Advanced Painting 3,3,Graduate
ARTCR 61378,Advanced Painting 3,3,Graduate
ARTCR 61375,Advanced Painting 3,3,Graduate
ARTCR 61355,Advanced Painting 3,3,Graduate
ARTCR 61359,Advanced Painting 3,3,Graduate
ARTCR 61154,Advanced Painting I,3,Graduate
ARTCR 61155,Advanced Painting I,3,Graduate
ARTCR 61154,Advanced Painting I,3,Graduate
ARTCR 61275,Advanced Painting II,3,Graduate
ARTCR 61278,Advanced Painting II,3,Graduate
ARTCR 61351,Advanced Painting III,3,Graduate
ARTCR 61300,Advanced Painting III,3,Graduate
ARTCR 61167,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61161,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61165,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61172,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61160,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61158,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61156,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61170,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61153,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61164,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61162,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61157,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61173,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61152,Advanced Painting Tutorial 1,3,Graduate
ARTCR 61269,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61256,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61261,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61252,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61258,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61262,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61268,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61264,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61257,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61270,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61273,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61253,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61267,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61265,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61272,Advanced Painting Tutorial 2,3,Graduate
ARTCR 61369,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61370,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61362,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61360,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61358,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61356,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61369,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61362,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61361,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61358,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61370,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61368,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61353,Advanced Painting Tutorial 3,3,Graduate
ARTCR 61169,Advanced Painting Tutorial I,3,Graduate
ARTCR 61168,Advanced Painting Tutorial I,3,Graduate
ARTCR 61260,Advanced Painting Tutorial II,3,Graduate
ARTCR 61365,Advanced Painting Tutorial III,3,Graduate
ARTCR 61364,Advanced Painting Tutorial III,3,Graduate
NURS 78700,Advanced Palliative Care Practice 1,3.5,Graduate
NURS 71700,Advanced Pathophysiology for Nursing Practice,3,Graduate
MUS 78959,Advanced Performance Technique I,3,Graduate
PH 77001,Advanced Ph Research,3,Graduate
NURS 70250,Advanced Pharmacology for Nurse Anesthesia and Acute Care,3,Doctoral
NURS 75000,Advanced Pharmacotherapeutics,3,Graduate
ARTCR 63200,Advanced Photography 2,3,Graduate
ARTCR 63100,Advanced Photography 1,3,Graduate
ARTCR 63153,Advanced Photography 1,3,Graduate
ARTCR 63300,Advanced Photography 3,3,Graduate
ARTCR 63374,Advanced Photography 3,3,Graduate
ARTCR 63151,Advanced Photography Tutorial,3,Graduate
ARTCR 63174,Advanced Photography Tutorial 1,3,Graduate
ARTCR 63152,Advanced Photography Tutorial 1,3,Graduate
ARTCR 63268,Advanced Photography Tutorial 2,3,Graduate
ARTCR 63274,Advanced Photography Tutorial 2,3,Graduate
ARTCR 63270,Advanced Photography Tutorial 2,3,Graduate
ARTCR 63253,Advanced Photography Tutorial 2,3,Graduate
ARTCR 63251,Advanced Photography Tutorial 2,3,Graduate
ARTCR 63252,Advanced Photography Tutorial 2,3,Graduate
