Course Code,Course Name,Credits,Level
ARTCR 32600,Advanced Printmaking,3,Undergraduate
CSCI 46000,Advanced Programming Languages,3,Undergraduate
CSCI 39538,Advanced Python Programming,3,Undergraduate
MEDP 29300,Advanced Reporting,3,Undergraduate
SOC 44100,Advanced Research Methods,3,Undergraduate
RUSS 30200,Advanced Russian 2,3,Undergraduate
RUSS 31300,Advanced Russian Conversation 2,3,Undergraduate
RUSS 31200,Advanced Russian Conversation I,3,Undergraduate
RUSS 30100,Advanced Russian I,3,Undergraduate
ARTCR 35200,Advanced Sculpture,3,Undergraduate
FILM 49900,Advanced Seminar,3,Undergraduate
HUM 35001,Advanced Seminar in Far Eastern Art,3,Undergraduate
ENGL 49200,Advanced Seminar in Linguistics and/or Rhetoric,3,Undergraduate
ENGL 49000,Advanced Seminar in Literature and Criticism,3,Undergraduate
ENGL 49458,Advanced Seminar in Literature Theory,3,Undergraduate
SPAN 20251,Advanced Span Lit,3,Undergraduate
SPAN 20800,Advanced Spanish for Native Speakers,3,Undergraduate
SPAN 31200,Advanced Spanish Writing,3,Undergraduate
JPN 40400,Advanced Special Topics in Japanese Language,3,Undergraduate
CHIN 40100,Advanced Studies in Chinese Literature,3,Undergraduate
ARTH 46000,Advanced Studies Seminar in Islamic Art,3,Undergraduate
ARTH 42001,Advanced Studies Seminar in Medieval Art - Byzantium,3,Undergraduate
ARTH 42002,"Advanced Studies Seminar In Medieval Art: Saints, Relics, Reliquaries",3,Undergraduate
ARTH 45005,Advanced Studies Seminar in Modern Art,3,Undergraduate
ARTH 45021,"Advanced Studies Seminar in Modern Art, Harlem and Photography",3,Undergraduate
ARTH 45009,Advanced Studies Seminar in Modern Art: PerformSelf,3,Undergraduate
ARTH 38500,Advanced Studies-Modern Art,3,Undergraduate
ARTH 45001,Advanced Studies: Collaboration & Conflict,3,Undergraduate
ARTH 45010,Advanced Studies: Duchamps,3,Undergraduate
ARTH 45011,Advanced Studies: Print Matters,3,Undergraduate
ARTH 45003,Advanced Studies:Abstract Art,3,Undergraduate
ARTH 45002,Advanced Studies:Art & Cntrvsy,3,Undergraduate
ARTCR 30100,Advanced Studio,3,Undergraduate
CSCI 37100,Advanced Symbolic Logic,3,Undergraduate
PHILO 37500,Advanced Symbolic Logic,3,Undergraduate
NURS 49200,Advanced Synthesis of Nursing,2,Undergraduate
ENGL 49465,Advanced Theory Coll,3,Undergraduate
MATH 39500,Advanced Topics in Mathematics,3,Undergraduate
MEDP 39800,Advanced Topics in Media Production,3,Undergraduate
BIOL 47194,Advanced Topics in Microbial Pathogenesis,3,Undergraduate
ENGL 31700,Advanced Topics in Non-European Literary Traditions,3,Undergraduate
ARB 30001,Advanced Topics in Teaching Arabic,3,Undergraduate
PHILO 39478,Advanced Topics in Value Theory,3,Undergraduate
RUSS 31800,Advanced Translation,3,Undergraduate
MEDP 31000,Advanced TV Studio Production,3,Undergraduate
CSCI 49382,Advanced Visualization Tools,3,Undergraduate
THEA 36300,Advanced Voice and Movement for Performers,2,Undergraduate
ARTCR 36051,Advanced Watercolor Painting,3,Undergraduate
ARTCR 36052,Advanced Watercolor Painting,3,Undergraduate
NURS 48200,Advancement of Roles and Relationships in Professional Nursing,3,Undergraduate
BIOL 37101,Advances in Experimental Molecular Biology,3,Undergraduate
POLSC 21767,Advocacy in the Courts,3,Undergraduate
CLARC 22000,Aegean Archaeology,3,Undergraduate
CLARC 32965,Aegean Painting,3,Undergraduate
GRK 30800,Aeschylus,3,Undergraduate
MUSHL 36161,Aesthetics,3,Undergraduate
PHILO 25800,Aesthetics,3,Undergraduate
ARTH 45025,Aesthetics & Power: Artunder Authoritarian Regimes,3,Undergraduate
FILM 32352,Aesthetics Camera Movement,3,Undergraduate
FILM 32351,Aesthetics Film Sound,3,Undergraduate
HONS 2011A,Aesthetics of Everyday Life,3,Undergraduate
PHILO 20078,Aesthetics of Music,3,Undergraduate
HIST 38554,Af & Lt Am Compara Std,3,Undergraduate
HED 30800,Affective Tch Strat,4,Undergraduate
AFPRL 29011,Affirmative Action Debate,3,Undergraduate
HIST 3411D,Afr Amer Exp to 1865,3,Undergraduate
WGS 20073,Afr Wmn:Devl & Polts,3,Undergraduate
AFPRL 29008,Afr Wmn:Devl & Polts,3,Undergraduate
AFPRL 42862,Afr-Cntd Pdgms & Methd,3,Undergraduate
HIST 48554,Afr-Lat Am (Honors),3,Undergraduate
POLSC 27368,Africa & U.S. Today,3,Undergraduate
POLSC 27312,Africa and the World,3,Undergraduate
AFPRL 29078,Africa and the World,3,Undergraduate
HONS 20180,Africa Fr 700-1600,3,Undergraduate
HIST 28900,Africa in the 19th and 20th Centuries,3,Undergraduate
HIST 3412S,Africa in the Cold War,3,Undergraduate
AFPRL 39098,Africa State & Soc,3,Undergraduate
ANTHC 20000,Africa: Societies and Cultures,3,Undergraduate
AFPRL 29047,Africa:Traditional Religions,3,Undergraduate
AFPRL 39056,Africa:War and Peace,3,Undergraduate
ENGL 25178,African Amer Writing 1900-1940,3,Undergraduate
AFPRL 39007,African Amercans & Africa,3,Undergraduate
ENGL 32154,African American Drama,3,Undergraduate
AFPRL 32400,African American Ethnohistory,3,Undergraduate
HIST 25010,African American History 1,3,Undergraduate
HIST 25011,African American History 2,3,Undergraduate
AFPRL 20400,African American History II,3,Undergraduate
HIST 34161,African American History in Race and Reform,3,Undergraduate
ENGL 32152,African American Literature and Culture from Reconstruction to Renaissance 1865-1914,3,Undergraduate
ENGL 4941M,African American Literature of 19th Century West,3,Undergraduate
ENGL 49057,African American Literature of 19th Century West,3,Undergraduate
ENGL 32149,African American Narrative 1900-1940,3,Undergraduate
AFPRL 29083,African American Protest Fiction,3,Undergraduate
ENGL 32163,African American Voice and Tradition,3,Undergraduate
AFPRL 39051,African Americans & Prisons,3,Undergraduate
AFPRL 42861,African Centered Education,3,Undergraduate
AFPRL 22200,African Civilization,3,Undergraduate
AFPRL 42859,African Crit Theory,3,Undergraduate
GEOG 30504,African Environment and Development,3,Undergraduate
AFPRL 20100,African History from Human Origins to 1600 Cent,3,Undergraduate
AFPRL 20200,African History Since 1600 Century,3,Undergraduate
ANTHC 32091,African Influence Cuban Culture,3,Undergraduate
AFPRL 23500,African Literature,3,Undergraduate
MUSHL 26162,African Mus-Diaspora,3,Undergraduate
MUSHL 36166,African Music,3,Undergraduate
AFPRL 29055,African Music & Diaspora,3,Undergraduate
ANTHC 32092,African Orgn Rel Caribbean,3,Undergraduate
AFPRL 20600,African Political and Social Change,3,Undergraduate
POLSC 27202,African Political and Social Change,3,Undergraduate
FILM 21462,African Politics through African Films,3,Undergraduate
POLSC 26000,African Politics through African Films,3,Undergraduate
MEDIA 29975,African Politics through African Films,3,Undergraduate
AFPRL 29019,African Politics through African Films,3,Undergraduate
ANTHP 40178,African Primate Conservation,3,Undergraduate
