"course_code","course_title","department","credits","description"
"SPSY 80199","DISSERTATION I","School Psychology (SPSY)","15 Credit Hours","(Repeatable for credit) Doctoral dissertation for which registration in at least two semesters is required, first of which will be semester in which dissertation work is begun and continuing until the completion of 30 hours.Prerequisite:Doctoral standing.Schedule Type:DissertationContact Hours:3 otherGrade Mode:Satisfactory/Unsatisfactory-IP"
"SPSY 80299","DISSERTATION II","School Psychology (SPSY)","15 Credit Hours","(Repeatable for credit) Continuing registration required of doctoral students who have completed the initial 30 hours of dissertation and continuing until all dissertation requirements are met.Prerequisite:SPSY 80199; and doctoral standing.Schedule Type:DissertationContact Hours:15 otherGrade Mode:Satisfactory/Unsatisfactory-IP"
"SPSY 87987","PROFESSIONAL SEMINAR IN SCHOOL PSYCHOLOGY","School Psychology (SPSY)","3 Credit Hours","A professional seminar focused on the identity, history and development of school psychology with special emphasis on current professional issues.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 87992","DOCTORAL INTERNSHIP IN SCHOOL PSYCHOLOGY","School Psychology (SPSY)","1-6 Credit Hours","Repeatable for credit) The internship experience provides students with the opportunity to develop and practice the professional roles and functions of a school psychologist in an approved school setting. Students complete one academic year of internship in schools (minimum of 1,500 clock hours) under the supervision of a university supervisor and a licensed school psychologist who is employed by a school system. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned ""school-agency"" before the first day of the semester in which student teaching internship will take place.Prerequisite:School psychology major; and doctoral standing.Schedule Type:Practical ExperienceContact Hours:10-60 otherGrade Mode:Satisfactory/Unsatisfactory-IP"
"SPSY 87998","RESEARCH SEMINAR IN SCHOOL PSYCHOLOGY","School Psychology (SPSY)","3 Credit Hours","(Repeatable for credit)Selected research topics in school psychology. Significant research literature is reviewed; research design methods and issues are presented and small research projects are conducted.Prerequisite:Doctoral standing.Schedule Type:ResearchContact Hours:3 otherGrade Mode:Standard Letter"
"SBS 50196","INDIVIDUAL INVESTIGATION IN SOCIAL AND BEHAVIORAL SCIENCES","Social and Behavioral Sciences (SBS)","1-3 Credit Hours","(Repeatable for credit) Individual graduate investigation or research in areas related to social and behavioral sciences.Prerequisite:Graduate standing; and special approval.Schedule Type:Individual InvestigationContact Hours:1-3 otherGrade Mode:Standard Letter-IP"
"SBS 60002","QUANTITATIVE METHODS IN SOCIAL AND BEHAVIORAL SCIENCES","Social and Behavioral Sciences (SBS)","3 Credit Hours","Introduces basic quantitative methods used in social and behavioral scientific research. First we focus on the measurement of socio-behavioral phenomena and the relationship between measurement and statistics. Next, we examine the interrelated roles of scientific theory and the design of socio-behavioral research studies. Last, we focus on building appropriate multiple linear regression and or analysis of variance statistical models to provide valid analysis of data collected in socio-behavioral research.Prerequisite:BST 62019; and graduate standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 60020","PROGRAM EVALUATION II: APPLICATION IN THE REAL WORLD","Social and Behavioral Sciences (SBS)","3 Credit Hours","(Slashed withSBS 80020) This course provides students with a more in-depth examination of program evaluation for public health professionals and the opportunity to apply their evaluation knowledge and skills to an existing health intervention. The content delves deeply into formative and summative evaluation, including theoretical underpinnings, professional standards, research design and data collection and analysis. Students are required to apply this knowledge to a selected program and produce an evaluation proposal acceptable for submission to a funding agency.Prerequisite:HPM 63011; and graduate standing.Schedule Type:SeminarContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 60021","SOCIAL AND BEHAVIORAL SCIENCE THEORIES","Social and Behavioral Sciences (SBS)","3 Credit Hours","Examines fundamental social and behavioral science theoretical frameworks that explain health behaviors with an emphasis on application through universal prevention approaches to inform both research and program evaluation designs.Prerequisite:Graduate standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 60030","CODING FOR QUALITATIVE RESEARCH","Social and Behavioral Sciences (SBS)","1 Credit Hour","(Slashed withSBS 80030) The purpose of this course is to provide students with a brief but thorough overview of the basic process of coding text-based, unstructured data for qualitative research projects. Focus is on coding for descriptive or basic qualitative research.Prerequisite:Graduate standing.Schedule Type:LectureContact Hours:15 lectureGrade Mode:Standard Letter"
"SBS 60040","TRANSCRIBING INDIVIDUAL AND GROUP INTERVIEWS FOR QUALITATIVE RESEARCH","Social and Behavioral Sciences (SBS)","1 Credit Hour","(Slashed withSBS 80040) The purpose of this course is to provide students an overview of, and applied practice in transcribing audio-recorded interview data as preparation for qualitative analysis techniques.Prerequisite:Graduate standing.Schedule Type:LectureContact Hours:15 lectureGrade Mode:Standard Letter"
"SBS 60191","VARIABLE CONTENT SEMINAR IN SOCIAL AND BEHAVIORAL SCIENCES","Social and Behavioral Sciences (SBS)","1-3 Credit Hours","(Repeatable for a maximum of 6 credit hours) Seminar on current and important topics in social and behavioral sciences. Subject matter varies depending on the topic.Prerequisite:Graduate standing.Schedule Type:SeminarContact Hours:1-3 lectureGrade Mode:Standard Letter"
"SBS 60195","SPECIAL TOPICS IN SOCIAL AND BEHAVIORAL SCIENCES","Social and Behavioral Sciences (SBS)","1-3 Credit Hours","(Repeatable for a maximum of 6 credit hours)Special topics to sample new offerings on topics in social and behavioral sciences.Prerequisite:Graduate standing.Schedule Type:LectureContact Hours:1-3 lectureGrade Mode:Standard Letter"
"SBS 60392","APPLIED PRACTICE EXPERIENCE IN SOCIAL AND BEHAVIORAL SCIENCES","Social and Behavioral Sciences (SBS)","3,6 Credit Hours","(Repeatable for credit) Observation and participation in public health activities of a public health agency, hospital or other approved organization. The student completes the field experience with joint supervision from the university and approved organization or agency.Prerequisite:Graduate standing; and special approval.Schedule Type:Practical ExperienceContact Hours:9-18 otherGrade Mode:Satisfactory/Unsatisfactory-IP"
"SBS 60492","APPLIED PRACTICE EXPERIENCE IN SOCIAL AND BEHAVIORAL SCIENCES II","Social and Behavioral Sciences (SBS)","1 Credit Hour","(Repeatable for credit) Continuing enrollment for students participating in public health activities of a public health agency, hospital or other approved organization. Students complete the field experience with joint supervision from the university and an approved organization or agency.Prerequisite:SBS 60392; and graduate standing.Schedule Type:Practical ExperienceContact Hours:15 otherGrade Mode:Satisfactory/Unsatisfactory-IP"
"SBS 63008","GRANT WRITING IN SOCIAL AND BEHAVIORAL SCIENCES","Social and Behavioral Sciences (SBS)","3 Credit Hours","Students learn the basics of grant writing for federal and non-federal funding agencies with a particular emphasis on the components of most proposals for funding. This includes rationale for seeking funds, collaborations with community organizations and working with consultants and subcontractors. Students also learn about the basic sections of grant writing such as specific aims and hypotheses, developing a literature review, background and significance, research design and methodology, developing a budget and conducting research with human subjects. Students have an opportunity to write sample grant proposals and learn about the review and scoring process and post-award grant management.Prerequisite:Graduate standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 63010","QUALITATIVE METHODS FOR PUBLIC HEALTH RESEARCH","Social and Behavioral Sciences (SBS)","3 Credit Hours","(Slashed withSBS 83010) In this course, students will be guided through exploration of the uses and value of qualitative approaches to research with humans through a combination of resource review and guided applied practice. Students will be provided with information about various methodologies that comprise qualitative inquiry, and will engage in practice efforts to analyze provided data, and to assess the quality of research reports.Prerequisite:Graduate standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 63011","QUALITATIVE DATA ANALYSIS","Social and Behavioral Sciences (SBS)","3 Credit Hours","(Slashed withSBS 83011) Students will be introduced to the process and goals of qualitative data analysis relevant to research design and study purpose, and will be provided opportunities to conduct coding and other types of analysis of qualitative data using both computer assisted and manual processes. Students will focus on descriptive or generic approaches for both qualitative and mixed methods research. Students will additionally learn about and be provided opportunities for guided practice in quality control measures that include creation of an audit trail, ""member checking,"" composition of analytic memos, and other forms of researcher initiated documentation.Prerequisite:SBS 63010or special approval.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 63030","SEMINAR IN SOCIAL AND BEHAVIOR SCIENCES","Social and Behavioral Sciences (SBS)","3 Credit Hours","Explores case studies in the social and behavioral sciences on topics that address the leading health indicators including substance use (alcohol, tobacco and other drugs), obesity (physical activity and nutrition), HIV and STIs, mental health, injury, immunization, access to healthcare and social determinants of health.Prerequisite:Graduate standing.Schedule Type:SeminarContact Hours:3 otherGrade Mode:Standard Letter"
"SBS 64600","EMERGING ISSUES IN LGBTQ+ PUBLIC HEALTH PRACTICE","Social and Behavioral Sciences (SBS)","3 Credit Hours","This course is an overview of emerging issues and their related challenges in the field of LGBTQ+ public health practice. In particular, this course focuses on emerging LGBTQ+ public health issues, with special emphasis on several current public health topics. Lectures, reading assignments, videos, assignments and individual projects are used to introduce students to the diversity and complexity of emerging public health issues and challenges associated with addressing emerging public health issues.Prerequisite:Graduate standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 64630","SEXUAL ORIENTATION AND GENDER IDENTITY IN PUBLIC HEALTH PRACTICE","Social and Behavioral Sciences (SBS)","3 Credit Hours","This course introduces students to the diverse concepts of sexual orientation and gender identity through the lens of public health practice. The course prepares public health leaders and clinical practitioners to think critically about the unique health concerns and inherent systems of homophobia and heterosexism that negatively impact the health of the LGBTQ+ community and how to navigate LGBTQ+ public health practice to make positive community health change. Lectures, reading assignments, videos, assignments and individual projects are used to introduce students to the diversity and complexity of emerging public health issues and the challenges associated with addressing emerging public health issues.Prerequisite:Graduate standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 64634","SOCIAL DETERMINANTS OF HEALTH BEHAVIORS","Social and Behavioral Sciences (SBS)","3 Credit Hours","(Slashed withSBS 74634) Overviews the social determinants of health and dynamic interplay between individual behaviors and community structures (systems orientation), including public policy, social and built environments, commercial messages, access to services, cultural norms, psychosocial hazards and poverty as causal effects that either provide opportunity or constraints to health. Also examines systems approaches to preventing public health threats from issues including substance use (alcohol, tobacco and other drugs), physical inactivity, poor dietary practices, unsafe sexual behaviors, violence and injury and mental health.Prerequisite:Graduate standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 64700","COMMUNITY-BASED SUBSTANCE ABUSE PREVENTION FOR PUBLIC HEALTH PROFESSIONALS","Social and Behavioral Sciences (SBS)","3 Credit Hours","This course provides foundational knowledge for substance abuse prevention. In addition, this course enhances the knowledge and skills of public health professionals to enable them to implement evidence-based substance use prevention interventions and policies. The primary emphasis is on evidence-based interventions, policies and implementation quality and sustainability.Prerequisite:Graduate standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 64701","COMMUNITY-BASED PUBLIC HEALTH IMPLEMENTATION SYSTEMS","Social and Behavioral Sciences (SBS)","3 Credit Hours","This course focuses on public health prevention science and its application to the implementation of substance use interventions. The content focuses on community systems for addressing substance use problems that affect whole communities. These community systems incorporate evidence-based prevention interventions at various levels of influence within a socio-ecological perspective. Students will examine the development of community organizations that come together to address specific problems, and how they network and integrate with existing organizations that provide community services. The content draws from the International Standards on Drug Use Prevention that were published by the United Nations Office on Drugs and Crime (2013; 2015) and the European Drug Prevention Quality Standards published by the European Monitoring Centre on Drugs and Drug Addiction (2011). Primary emphasis is on evidence-based interventions and policies and on implementation quality and sustainability.Prerequisite:SBS 64700; and graduate standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 65010","RACISM: A PUBLIC HEALTH CRISIS","Social and Behavioral Sciences (SBS)","3 Credit Hours","Across the US, an increasing number of communities have declared racism as a public health crisis.  This declaration is not based on an isolated incident, rather, it is the acknowledgement that racism is structural and has been embedded within the institutional policies and societal norms that are present in our everyday lives.  This course will: Recognize racism in the US as a significant cause of poor health, disease, and persistent dis-ease among Black Americans;  Explore the relationship between racism and health through a historic accounting of social, political, economic, and environmental conditions post-slavery through the current events of 2020; and, identify how, research, and advocacy can address anti-Black racism and promote health equity.Prerequisite:Graduate standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 73018","THEORIES OF PREVENTION SCIENCE","Social and Behavioral Sciences (SBS)","3 Credit Hours","Provides a background and theoretical review of prevention science as a multi-disciplinary field focusing on systematic inquiry on health behaviors including substance use (alcohol, tobacco and other drugs), physical activity, dietary practices, mental health, violence and injury and sexual behaviors.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 73019","EVALUATION RESEARCH METHODS IN PREVENTION SCIENCE","Social and Behavioral Sciences (SBS)","3 Credit Hours","This course examines the methods used by prevention science researchers to determine the effectiveness of public health programs. Focus is on advanced formative, process, impact and outcome evaluation methods. Qualitative and quantitative analysis techniques used for assessing program process and effects are discussed in the context of research evaluation.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 73020","ADVANCED RESEARCH METHODS IN PREVENTION SCIENCE","Social and Behavioral Sciences (SBS)","3 Credit Hours","Focuses primarily on advanced quantitative methods in the application of prevention science.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SBS 74634","SOCIAL DETERMINANTS OF HEALTH BEHAVIORS","Social and Behavioral Sciences (SBS)","3 Credit Hours","(Slashed withSBS 64634) Overviews the social determinants of health and dynamic interplay between individual behaviors and community structures (systems orientation), including public policy, social and built environments, commercial messages, access to services, cultural norms, psychosocial hazards and poverty as causal effects that either provide opportunity or constraints to health. Also examines systems approaches to preventing public health threats from issues including substance use (alcohol, tobacco and other drugs), physical inactivity, poor dietary practices, unsafe sexual behaviors, violence and injury and mental health.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
